id,text,category,lowLabel,highLabel,flipValue,flagged
1.76544E+12,How steady and reliable is your energy from morning to night?,Energy & Focus,Disagree,Agree,FALSE,FALSE
1.76544E+12,How well do you bounce back from stress or overwhelm?,Stress Management,Disagree,Agree,FALSE,FALSE
1.76544E+12,I understand how food and drink affect me,Nutrition,Disagree,Agree,FALSE,FALSE
1.76544E+12,How well do you maintain routines when life gets busy?,Consistency & Habits,Disagree,Agree,FALSE,FALSE
1.76544E+12,"How often do you stretch, mobilise, or work on posture?",Movement (mobility and stability),Disagree,Agree,FALSE,FALSE
1.76544E+12,How in control do you feel of your emotional state day-to-day?,Stress Management,At the whims of chaos,Locked in,FALSE,FALSE
1.76544E+12,"If I were told to jump, stand on one leg, and squat right now, I can do it easily.",Movement (mobility and stability),Disagree,Agree,FALSE,FALSE
1.76544E+12,I have no issues getting through my daily physical activities.,Movement (mobility and stability),Disagree,Agree,FALSE,FALSE
1.76544E+12,How much do you feel like you're operating as your “higher self E,Purpose & Mindset,Disagree,Agree,FALSE,FALSE
1.76544E+12,I stop eating at least 3 hours before bedtime.,Recovery and Sleep,Disagree,Agree,FALSE,FALSE
1.76544E+12,I am mentally clear and focused throughout the day.,Energy & Focus,Disagree,Agree,FALSE,FALSE
1.76544E+12,I have a high tolerance to stressful situations.,Stress Management,Disagree,Agree,FALSE,FALSE
1.76544E+12,How effectively do you manage stress without turning to food/alcohol?,Stress Management,Ineffective,Effective,FALSE,FALSE
1.76544E+12,Walking all day does not affect how I feel the next day.,Cardio & Conditioning,Disagree,Agree,FALSE,FALSE
1.76544E+12,How reliable are you at following through on promises you make to yourself?,Consistency & Habits,Disagree,Agree,FALSE,FALSE
1.76544E+12,"How effectively do you manage soreness, mobility, and downtime?",Recovery and Sleep,Disagree,Agree,FALSE,FALSE
1.76544E+12,Walking up 2 flights of stairs is easy.,Cardio & Conditioning,Disagree,Agree,FALSE,FALSE
1.76544E+12,I can confidently look at myself in the bathroom mirror naked.,Strength and Physique,Disagree,Agree,FALSE,FALSE
1.76544E+12,I rarely indulge in comfort foods.,Nutrition,Disagree,Agree,FALSE,FALSE
1.76544E+12,How physically energetic do you feel during everyday tasks?,Energy & Focus,Disagree,Agree,FALSE,FALSE
1.76544E+12,How often do you wake up refreshed without relying on caffeine?,Recovery and Sleep,Disagree,Agree,FALSE,TRUE
1.76544E+12,I can change my lifestyle habits to achieve my goals.,Purpose & Mindset,Disagree,Agree,FALSE,FALSE
1.76544E+12,How understanding are the people around you during your journey?,Support Systems,Disagree,Agree,FALSE,TRUE
1.76544E+12,How often do weekends undo your weekday progress?,Consistency & Habits,Disagree,Agree,FALSE,TRUE
1.76544E+12,I move without pain or discomfort right after waking up.,Movement (mobility and stability),Disagree,Agree,FALSE,FALSE
1.76544E+12,How clear are you on why you want to transform your health?,Purpose & Mindset,Unclear,Laser focused,FALSE,FALSE
1.76544E+12,I can control my hunger signals.,Nutrition,Disagree,Agree,FALSE,TRUE
1.76544E+12,I can hit 8000 steps every single day.,Cardio & Conditioning,Disagree,Agree,FALSE,FALSE
1.76544E+12,I am willing to make sacrifices and say no to things that will slow down my progress.,Purpose & Mindset,Disagree,Agree,FALSE,FALSE
1.76544E+12, How well do you recover your breath after short intense efforts?,Cardio & Conditioning,Disagree,Agree,FALSE,FALSE
1.76544E+12,How confident do you feel in your heart health and endurance?,Cardio & Conditioning,Disagree,Agree,FALSE,FALSE
1.76544E+12,I feel strong and stable when performing my daily tasks.,Strength and Physique,Disagree,Agree,FALSE,FALSE
1.76544E+12,I am happy with the way my body looks and feels.,Strength and Physique,Disagree,Agree,FALSE,FALSE
1.76544E+12,How free and comfortable do your joints feel during daily life?,Movement (mobility and stability),Disagree,Agree,FALSE,FALSE
1.76544E+12,I know how to select exercises for my specific goals and needs.,Strength and Physique,Disagree,Agree,FALSE,FALSE
1.76544E+12,Do you have a consistent eating time for every meal?,Nutrition,Disagree,Agree,FALSE,TRUE
1.76544E+12,I go to bed and wake up at a consistent and predictable time.,Recovery and Sleep,Disagree,Agree,FALSE,FALSE
1.76544E+12,My friends and family support me on my fitness journey.,Support Systems,Disagree,Agree,FALSE,FALSE
1.76544E+12,I drink enough water every single day,Nutrition,Disagree,Agree,FALSE,FALSE
1.76544E+12,I still eat well and workout when I have low energy because it’s my routine.,Energy & Focus,Disagree,Agree,FALSE,FALSE
1.76544E+12,I have downtime activities that I enjoy.,Recovery and Sleep,Disagree,Agree,FALSE,FALSE
1.76544E+12,How structured is your lifestyle to make healthy choices easy?,Support Systems,Not at all,Very,FALSE,FALSE
1.76544E+12,I have an internal  Ehy Ethat pushes me to my goals.,Purpose & Mindset,Disagree,Agree,FALSE,TRUE
1.76544E+12,I can easily manage social events without compromising on my nutrition and recovery.,Support Systems,Disagree,Agree,FALSE,FALSE
1.76544E+12,I have ways to keep myself accountable.,Support Systems,Disagree,Agree,FALSE,FALSE
1.76544E+12,I know what my body needs and eat in accordance with it.,Nutrition,Disagree,Agree,FALSE,FALSE
1.76544E+12,How consistent are you with your health habits on a weekly basis?,Consistency & Habits,Disagree,Agree,FALSE,FALSE
1.76544E+12,How restful and energising is your sleep most nights?,Recovery and Sleep,Disagree,Agree,FALSE,FALSE
1.76544E+12,"How strong do you feel in basic movements (push, pull, squat, hinge)?",Strength and Physique,Disagree,Agree,FALSE,FALSE
1.76544E+12,I am aware of my body’s signals when it is overworked.,Stress Management,Disagree,Agree,FALSE,FALSE
1.76545E+12,How well do you track your health habits?,Consistency & Habits,Not very well,Very well,FALSE,FALSE
